route,total_cost
Centre Port->Woolworths Kilbirnie->Centre Port,243.05666666666667
Centre Port->Woolworths Wainuiomata->Centre Port,397.055
Centre Port->FreshChoice Woburn->Centre Port,229.6161111111111
Centre Port->Woolworths Petone->Centre Port,237.975
Centre Port->FreshChoice Cuba Street->Centre Port,138.6488888888889
Centre Port->Woolworths Karori->Centre Port,241.57277777777776
Centre Port->Woolworths Porirua->Centre Port,367.64000000000004
Centre Port->Woolworths Aotea->Centre Port,321.4894444444445
Centre Port->Woolworths Upper Hutt->Centre Port,397.89833333333337
Centre Port->Woolworths Johnsonville Mall->Centre Port,229.07444444444448
Centre Port->Woolworths Newtown->Centre Port,212.2588888888889
Centre Port->Metro Cable Car Lane->Centre Port,138.02166666666668
Centre Port->Woolworths Lower Hutt->Centre Port,266.7933333333334
Centre Port->Woolworths Queensgate->Centre Port,277.8972222222222
Centre Port->Woolworths Tawa->Centre Port,238.5622222222222
Centre Port->Woolworths Crofton Downs->Centre Port,277.625
Centre Port->Woolworths Johnsonville->Centre Port,275.6794444444444
Centre Port->Woolworths Maidstone->Centre Port,448.1277777777778
Centre Port->FreshChoice Cannons Creek->Centre Port,321.31888888888886
Centre Port->Woolworths Kilbirnie->Woolworths Wainuiomata->Centre Port,636.4031249999999
Centre Port->Woolworths Kilbirnie->FreshChoice Woburn->Centre Port,459.03611111111115
Centre Port->Woolworths Kilbirnie->Woolworths Petone->Centre Port,467.39500000000004
Centre Port->Woolworths Kilbirnie->FreshChoice Cuba Street->Centre Port,351.2272222222222
Centre Port->Woolworths Kilbirnie->Woolworths Karori->Centre Port,455.47555555555556
Centre Port->Woolworths Kilbirnie->Woolworths Porirua->Centre Port,597.0600000000001
Centre Port->Woolworths Kilbirnie->Woolworths Aotea->Centre Port,550.9094444444445
Centre Port->Woolworths Kilbirnie->Woolworths Upper Hutt->Centre Port,637.5627083333333
Centre Port->Woolworths Kilbirnie->Woolworths Johnsonville Mall->Centre Port,458.4944444444444
Centre Port->Woolworths Kilbirnie->Woolworths Newtown->Centre Port,395.2922222222222
Centre Port->Woolworths Kilbirnie->Metro Cable Car Lane->Centre Port,356.4183333333334
Centre Port->Woolworths Kilbirnie->Woolworths Lower Hutt->Centre Port,496.21388888888896
Centre Port->Woolworths Kilbirnie->Woolworths Queensgate->Centre Port,507.3177777777779
Centre Port->Woolworths Kilbirnie->Woolworths Tawa->Centre Port,467.9822222222222
Centre Port->Woolworths Kilbirnie->Woolworths Crofton Downs->Centre Port,502.1122222222223
Centre Port->Woolworths Kilbirnie->Woolworths Johnsonville->Centre Port,505.09944444444454
Centre Port->Woolworths Kilbirnie->Woolworths Maidstone->Centre Port,706.6281944444445
Centre Port->Woolworths Kilbirnie->FreshChoice Cannons Creek->Centre Port,550.7388888888889
Centre Port->Woolworths Wainuiomata->Woolworths Kilbirnie->Centre Port,633.4736111111112
Centre Port->Woolworths Wainuiomata->FreshChoice Woburn->Centre Port,507.88000000000005
Centre Port->Woolworths Wainuiomata->Woolworths Petone->Centre Port,551.1888888888889
Centre Port->Woolworths Wainuiomata->FreshChoice Cuba Street->Centre Port,518.4961111111112
